target_x,target_y,origin_gaze_x,origin_gaze_y,spread,pred_similarity_x,pred_similarity_y,pred_poly_x,pred_poly_y,pred_rbf_multiquadric_s0.0_x,pred_rbf_multiquadric_s0.0_y,pred_rbf_multiquadric_s1.0_x,pred_rbf_multiquadric_s1.0_y,pred_rbf_multiquadric_s2.0_x,pred_rbf_multiquadric_s2.0_y,pred_tps_x,pred_tps_y,pred_sim_rbf_multiquadric_s0.0_x,pred_sim_rbf_multiquadric_s0.0_y,pred_sim_rbf_multiquadric_s1.0_x,pred_sim_rbf_multiquadric_s1.0_y,pred_sim_rbf_multiquadric_s2.0_x,pred_sim_rbf_multiquadric_s2.0_y,pred_sim_tps_x,pred_sim_tps_y,pred_sim_pwa_x,pred_sim_pwa_y
704.0,666.0,688.5141891891893,632.2655405405404,58.6564213201951,692.0323223368388,631.6594178032401,683.8721655257125,631.3554571033667,703.9999656677246,666.001033782959,691.6350888707129,630.7485294139369,691.1578441052134,630.3630644015757,703.9999996265396,665.9999969750643,703.9996513621073,665.9981819939139,691.6351647635321,630.7485516866955,691.1579951382065,630.3631071114605,704.0000002206426,665.9999988179925,691.1579951382065,630.3631071114605
832.0,461.0,807.8003003003003,483.14324324324326,96.95912062917644,809.893896452965,483.79363974702284,803.9448139926449,487.0194951466334,831.9998016357422,460.9991149902344,827.3400257753365,461.2879066824389,824.6984047298783,462.09284182919873,831.9999993219972,460.9999971091747,831.999739043297,460.9991451181166,827.3403142395716,461.2884956962196,824.6990264341191,462.0939799082633,832.0000002308504,460.99999965500757,824.6990264341191,462.0939799082633
832.0,666.0,814.0436046511627,623.6151162790698,164.4702970484844,816.3169556877142,622.878452000393,806.1167577239569,625.0558314361438,831.9994506835938,666.0006713867188,833.0973304704112,659.1871304507695,832.4947905753288,653.6192867520986,831.9999994747341,665.9999957978725,831.9990083000189,665.997836766018,833.0966368343866,659.1872989980832,832.4932986656718,653.6198239512444,831.9999999462193,665.9999983284608,832.4932986656718,653.6198239512444
512.0,614.0,524.1119266055047,638.8798165137615,89.64016376416697,529.2522283415213,638.4908575286128,523.6208435758164,634.6332151970411,511.99952697753906,614.0006713867188,511.15775861034854,613.1591995705458,511.1691714952558,613.3517149485742,511.99999982863665,613.999998152256,511.99968775314244,613.9977087249018,511.15804258282276,613.1593062783824,511.1701465242544,613.3519828715681,512.0000004055813,613.9999980499007,511.1701465242544,613.3519828715681
597.0,614.0,601.4873873873872,630.8174174174176,29.955644837118896,605.8557311887726,630.3747455605146,599.0851017525405,628.4194387574854,597.000057220459,614.0013151168823,596.7423801929235,609.2982429433359,596.7307473473684,609.9387468882014,596.9999995902181,613.9999966472387,596.9993545408233,613.9984895714399,596.7422737557463,609.2982752871496,596.7307037101536,609.9388811881156,597.0000001243188,613.9999982544061,596.7307037101536,609.9388811881156
597.0,478.0,605.1456456456458,481.8291291291292,50.44717998033158,609.2226116574211,482.83998001174194,602.1860521400627,484.3557418802406,596.999626159668,477.9991149902344,596.7785548955617,471.86558911453176,596.7019511317612,472.71770656333865,596.9999996665865,477.99999791383743,596.999810448925,477.9982746894763,596.7785735403659,471.86559626347815,596.7019579396274,472.71768077803216,597.0000003670184,477.99999929026825,596.7019579396274,472.71768077803216
683.0,546.0,684.8997093023256,559.2491279069768,46.46334386164885,688.3280248951319,559.3646241125324,681.1520564125572,560.7046112416081,683.000602722168,546.0015487670898,693.0367485477582,556.7549006453519,693.4374722858279,557.1229636310854,682.9999995334074,545.9999964386225,682.9998445820215,545.9987259802082,693.0368469455775,556.7549666384338,693.4376745018958,557.123098931709,683.0000002935681,545.9999989528814,693.4376745018958,557.123098931709
768.0,614.0,747.2043046357617,601.0155629139073,85.51901816053835,750.0937904432318,600.6149684879556,741.6151428728971,602.11333558626,768.0000610351562,614.0005950927734,768.9220964832002,609.4447509220081,768.9253259169818,608.661833342896,767.9999995231628,613.9999967962503,767.9994300916693,613.9980251285806,768.9222309455632,609.4448318323948,768.925629366941,608.6620181607404,768.0000001989207,613.9999992344156,768.925629366941,608.6620181607404
597.0,614.0,589.7066066066068,606.4552552552552,68.76049010659901,594.1485950606334,606.2714910201172,587.5282378368556,604.9016348167293,597.0000610351562,614.0019187927246,596.3322270281187,612.0059000093934,596.6854143416776,612.6223757860425,597.0000000111759,613.999998062849,596.9991542952525,613.9980992964844,596.3323118081285,612.0059304301427,596.6856155644696,612.6224430954604,597.0000005508232,613.9999992243389,596.6856155644696,612.6224430954604
683.0,614.0,666.9878205128206,616.3766025641024,49.584446934007765,670.689618890065,615.9630811638972,663.068924118162,615.7097197843792,683.0001754760742,614.0005569458008,684.000019714691,616.5235429061613,684.2497487097171,616.632463492444,682.9999996111728,613.9999970383942,682.9995706722916,613.9981458611628,684.0001392652998,616.5235826508697,684.2500480198237,616.6325687584877,683.0000002504171,613.9999988727113,684.2500480198237,616.6325687584877
